Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 4.78e+06     10929  |    -1.10    0.00   12345  |     0.45      0.20
| 4.80e+06     10976  |    -0.87    0.00   12345  |     0.00      0.16
| 4.82e+06     11022  |    -0.97    0.00   12345  |     0.00      0.17
| 4.84e+06     11069  |    -1.05    0.00   12345  |     0.00      0.19
| 4.86e+06     11114  |    -1.11    0.00   12345  |     0.00      0.19
| 4.88e+06     11159  |    -0.92    0.00   12345  |     0.00      0.21
| 4.90e+06     11204  |    -1.04    0.00   12345  |     0.35      0.20
| 4.92e+06     11251  |    -0.90    0.00   12345  |     0.21      0.23
| 4.94e+06     11298  |    -1.00    0.00   12345  |     0.38      0.25
| 4.96e+06     11343  |    -1.09    0.00   12345  |     0.12      0.22
| 4.98e+06     11389  |    -1.15    0.00   12345  |     0.38      0.32
| 5.00e+06     11434  |    -1.14    0.00   12345  |     0.15      0.18
| 5.02e+06     11480  |    -1.15    0.00   12345  |     0.10      0.20
| 5.04e+06     11525  |    -0.91    0.00   12345  |     0.25      0.21
| 5.06e+06     11571  |    -0.91    0.00   12345  |     0.00      0.22
| 5.08e+06     11616  |    -0.93    0.00   12345  |     0.00      0.22
| 5.10e+06     11661  |    -1.13    0.00   12345  |     0.00      0.22
| 5.12e+06     11706  |    -1.18    0.00   12345  |     0.00      0.23
| 5.14e+06     11751  |    -1.00    0.00   12345  |     0.00      0.22
| 5.16e+06     11797  |    -1.14    0.00   12345  |     0.00      0.22
| 5.18e+06     11843  |    -1.25    0.00   12345  |     0.00      0.22
| 5.20e+06     11889  |    -1.00    0.00   12345  |     0.00      0.22
| 5.22e+06     11934  |    -1.13    0.00   12345  |     0.52      0.20
| 5.24e+06     11980  |    -0.92    0.00   12345  |     0.31      0.19
| 5.26e+06     12025  |    -0.99    0.00   12345  |     0.74      0.22
| 5.28e+06     12071  |    -0.87    0.00   12345  |     0.41      0.22
| 5.30e+06     12116  |    -1.00    0.00   12345  |     1.24      0.20
| 5.32e+06     12161  |    -0.92    0.00   12345  |     0.58      0.18
| 5.34e+06     12207  |    -0.89    0.00   12345  |     0.36      0.23
| 5.36e+06     12252  |    -0.95    0.00   12345  |     0.47      0.21
| 5.38e+06     12297  |    -1.10    0.00   12345  |     0.43      0.19
