Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 7.61e+07    163447  |    -1.15    0.00   12345  |     0.12      0.40
| 7.61e+07    163490  |    -1.12    0.00   12345  |     0.13      0.39
| 7.61e+07    163532  |    -1.14    0.00   12345  |     0.11      0.41
| 7.62e+07    163574  |    -1.32    0.00   12345  |     0.40      0.48
| 7.62e+07    163616  |    -1.06    0.00   12345  |     0.00      0.45
| 7.62e+07    163659  |    -1.31    0.00   12345  |     0.00      0.45
| 7.62e+07    163702  |    -1.01    0.00   12345  |     0.00      0.44
| 7.62e+07    163745  |    -1.14    0.00   12345  |     0.00      0.46
| 7.63e+07    163788  |    -1.12    0.00   12345  |     0.00      0.45
| 7.63e+07    163832  |    -1.03    0.00   12345  |     0.00      0.43
| 7.63e+07    163875  |    -1.02    0.00   12345  |     0.00      0.44
| 7.63e+07    163917  |    -1.07    0.00   12345  |     3.06      0.56
| 7.63e+07    163960  |    -1.15    0.00   12345  |     0.65      0.47
| 7.64e+07    164002  |    -1.42    0.00   12345  |     0.40      0.43
| 7.64e+07    164045  |    -0.81    0.00   12345  |     0.90      0.52
| 7.64e+07    164089  |    -1.03    0.00   12345  |     0.55      0.44
| 7.64e+07    164132  |    -1.25    0.00   12345  |     1.01      0.40
| 7.64e+07    164175  |    -1.17    0.00   12345  |     0.69      0.37
| 7.65e+07    164217  |    -1.10    0.00   12345  |     0.61      0.43
| 7.65e+07    164260  |    -0.79    0.00   12345  |     0.79      0.49
| 7.65e+07    164304  |    -1.13    0.00   12345  |     0.67      0.40
| 7.65e+07    164346  |    -1.26    0.00   12345  |     0.49      0.48
| 7.65e+07    164389  |    -1.19    0.00   12345  |     0.13      0.39
| 7.66e+07    164432  |    -1.03    0.00   12345  |     0.39      0.39
| 7.66e+07    164474  |    -1.15    0.00   12345  |     1.04      0.39
| 7.66e+07    164516  |    -1.52    0.00   12345  |     0.67      0.39
| 7.66e+07    164558  |    -0.77    0.00   12345  |     0.83      0.44
| 7.66e+07    164600  |    -1.27    0.00   12345  |     0.70      0.46
| 7.67e+07    164642  |    -1.01    0.00   12345  |     0.56      0.39
| 7.67e+07    164684  |    -0.76    0.00   12345  |     0.63      0.42
| 7.67e+07    164727  |    -1.16    0.00   12345  |     0.05      0.53
| 7.67e+07    164770  |    -0.99    0.00   12345  |     0.00      0.46
| 7.67e+07    164814  |    -0.75    0.00   12345  |     0.00      0.43
| 7.68e+07    164857  |    -1.35    0.00   12345  |     0.00      0.42
| 7.68e+07    164900  |    -1.09    0.00   12345  |     0.00      0.42
| 7.68e+07    164942  |    -0.80    0.00   12345  |     0.50      0.43
| 7.68e+07    164984  |    -1.09    0.00   12345  |     0.16      0.40
| 7.68e+07    165026  |    -1.23    0.00   12345  |     0.08      0.40
| 7.69e+07    165068  |    -1.31    0.00   12345  |     0.17      0.48
| 7.69e+07    165112  |    -1.22    0.00   12345  |     0.17      0.45
| 7.69e+07    165154  |    -0.74    0.00   12345  |     0.11      0.37
| 7.69e+07    165196  |    -1.06    0.00   12345  |     0.14      0.40
| 7.69e+07    165238  |    -0.79    0.00   12345  |     0.13      0.38
| 7.70e+07    165281  |    -0.73    0.00   12345  |     0.41      0.48
| 7.70e+07    165324  |    -0.99    0.00   12345  |     0.00      0.46
| 7.70e+07    165366  |    -1.01    0.00   12345  |     0.00      0.45
| 7.70e+07    165408  |    -0.76    0.00   12345  |     0.00      0.45
| 7.70e+07    165449  |    -1.51    0.00   12345  |     0.00      0.46
| 7.71e+07    165492  |    -1.11    0.00   12345  |     0.00      0.45
| 7.71e+07    165536  |    -1.29    0.00   12345  |     0.00      0.45
| 7.71e+07    165580  |    -1.08    0.00   12345  |     0.00      0.47
| 7.71e+07    165622  |    -0.77    0.00   12345  |     0.25      0.42
| 7.71e+07    165666  |    -1.06    0.00   12345  |     0.58      0.45
| 7.72e+07    165710  |    -1.16    0.00   12345  |     0.46      0.46
| 7.72e+07    165753  |    -0.73    0.00   12345  |     0.81      0.53
| 7.72e+07    165797  |    -1.09    0.00   12345  |     0.63      0.41
| 7.72e+07    165839  |    -1.31    0.00   12345  |     0.85      0.45
| 7.72e+07    165881  |    -0.80    0.00   12345  |     0.82      0.39
| 7.73e+07    165923  |    -1.36    0.00   12345  |     0.51      0.39
| 7.73e+07    165965  |    -0.80    0.00   12345  |     0.51      0.40
| 7.73e+07    166008  |    -1.03    0.00   12345  |     0.64      0.43
| 7.73e+07    166050  |    -1.08    0.00   12345  |     0.36      0.43
| 7.73e+07    166092  |    -1.38    0.00   12345  |     0.36      0.45
| 7.74e+07    166134  |    -0.80    0.00   12345  |     0.60      0.40
| 7.74e+07    166177  |    -0.95    0.00   12345  |     0.95      0.41
| 7.74e+07    166220  |    -0.76    0.00   12345  |     0.82      0.40
| 7.74e+07    166263  |    -0.75    0.00   12345  |     0.96      0.40
| 7.74e+07    166305  |    -1.19    0.00   12345  |     0.44      0.38
| 7.75e+07    166347  |    -1.46    0.00   12345  |     0.64      0.42
| 7.75e+07    166390  |    -1.57    0.00   12345  |     0.74      0.41
| 7.75e+07    166433  |    -1.07    0.00   12345  |     0.00      0.42
| 7.75e+07    166476  |    -1.09    0.00   12345  |     0.00      0.45
| 7.75e+07    166518  |    -1.37    0.00   12345  |     0.00      0.43
| 7.76e+07    166560  |    -1.21    0.00   12345  |     0.00      0.44
| 7.76e+07    166603  |    -1.33    0.00   12345  |     0.00      0.45
| 7.76e+07    166645  |    -1.20    0.00   12345  |     0.37      0.41
| 7.76e+07    166687  |    -1.09    0.00   12345  |     0.10      0.39
| 7.76e+07    166730  |    -1.09    0.00   12345  |     0.07      0.41
| 7.77e+07    166772  |    -1.80    0.00   12345  |     0.24      0.46
| 7.77e+07    166814  |    -1.36    0.00   12345  |     0.16      0.41
| 7.77e+07    166857  |    -1.06    0.00   12345  |     0.12      0.38
| 7.77e+07    166898  |    -1.40    0.00   12345  |     0.09      0.39
| 7.77e+07    166941  |    -1.14    0.00   12345  |     0.20      0.39
| 7.78e+07    166983  |    -1.46    0.00   12345  |     0.22      0.45
| 7.78e+07    167025  |    -1.06    0.00   12345  |     0.00      0.46
| 7.78e+07    167067  |    -1.22    0.00   12345  |     0.00      0.45
| 7.78e+07    167110  |    -1.28    0.00   12345  |     0.00      0.45
| 7.78e+07    167153  |    -1.33    0.00   12345  |     0.00      0.45
| 7.79e+07    167195  |    -1.09    0.00   12345  |     0.00      0.46
| 7.79e+07    167239  |    -1.10    0.00   12345  |     0.00      0.45
| 7.79e+07    167281  |    -1.11    0.00   12345  |     0.00      0.45
| 7.79e+07    167323  |    -1.43    0.00   12345  |     0.33      0.44
| 7.79e+07    167365  |    -1.04    0.00   12345  |     0.60      0.41
| 7.80e+07    167407  |    -1.67    0.00   12345  |     0.45      0.45
| 7.80e+07    167450  |    -1.85    0.00   12345  |     0.36      0.41
| 7.80e+07    167493  |    -1.13    0.00   12345  |     0.57      0.44
| 7.80e+07    167536  |    -1.31    0.00   12345  |     1.06      0.43
| 7.80e+07    167578  |    -1.21    0.00   12345  |     0.68      0.40
| 7.81e+07    167620  |    -1.15    0.00   12345  |     0.43      0.41
| 7.81e+07    167662  |    -1.13    0.00   12345  |     0.41      0.40
| 7.81e+07    167704  |    -1.39    0.00   12345  |     0.96      0.47
| 7.81e+07    167747  |    -1.02    0.00   12345  |     0.24      0.40
| 7.81e+07    167791  |    -1.29    0.00   12345  |     0.39      0.43
| 7.82e+07    167834  |    -1.96    0.00   12345  |     0.72      0.41
| 7.82e+07    167876  |    -1.34    0.00   12345  |     1.09      0.41
| 7.82e+07    167917  |    -1.31    0.00   12345  |     0.98      0.40
| 7.82e+07    167959  |    -1.06    0.00   12345  |     0.96      0.41
| 7.82e+07    168001  |    -2.01    0.00   12345  |     0.59      0.42
| 7.83e+07    168045  |    -1.27    0.00   12345  |     0.80      0.42
| 7.83e+07    168088  |    -1.41    0.00   12345  |     0.49      0.40
| 7.83e+07    168132  |    -0.97    0.00   12345  |     0.00      0.28
| 7.83e+07    168174  |    -1.15    0.00   12345  |     0.00      0.46
| 7.83e+07    168216  |    -1.25    0.00   12345  |     0.00      0.43
| 7.84e+07    168258  |    -0.99    0.00   12345  |     0.00      0.42
| 7.84e+07    168300  |    -2.81    0.00   12345  |     0.00      0.43
| 7.84e+07    168343  |    -1.45    0.00   12345  |     0.34      0.39
| 7.84e+07    168384  |    -1.03    0.00   12345  |     0.16      0.43
| 7.84e+07    168426  |    -1.49    0.00   12345  |     0.10      0.39
| 7.85e+07    168468  |    -1.29    0.00   12345  |     0.17      0.41
| 7.85e+07    168512  |    -0.96    0.00   12345  |     0.16      0.44
| 7.85e+07    168555  |    -1.04    0.00   12345  |     0.10      0.40
| 7.85e+07    168599  |    -1.35    0.00   12345  |     0.11      0.42
| 7.85e+07    168641  |    -1.55    0.00   12345  |     0.20      0.42
| 7.86e+07    168683  |    -1.12    0.00   12345  |     0.18      0.43
| 7.86e+07    168725  |    -1.51    0.00   12345  |     0.00      0.46
| 7.86e+07    168769  |    -1.42    0.00   12345  |     0.00      0.46
| 7.86e+07    168812  |    -1.14    0.00   12345  |     0.00      0.45
| 7.86e+07    168854  |    -1.35    0.00   12345  |     0.00      0.45
| 7.87e+07    168898  |    -1.14    0.00   12345  |     0.00      0.46
| 7.87e+07    168941  |    -1.22    0.00   12345  |     0.00      0.46
| 7.87e+07    168983  |    -0.91    0.00   12345  |     0.00      0.45
| 7.87e+07    169027  |    -1.19    0.00   12345  |     0.31      0.43
| 7.87e+07    169069  |    -1.12    0.00   12345  |     0.64      0.43
| 7.88e+07    169111  |    -1.20    0.00   12345  |     0.33      0.44
| 7.88e+07    169153  |    -1.23    0.00   12345  |     0.30      0.40
| 7.88e+07    169194  |    -1.07    0.00   12345  |     0.48      0.43
| 7.88e+07    169236  |    -1.20    0.00   12345  |     1.03      0.44
| 7.88e+07    169279  |    -1.69    0.00   12345  |     0.47      0.44
| 7.89e+07    169321  |    -0.96    0.00   12345  |     0.52      0.43
| 7.89e+07    169365  |    -1.22    0.00   12345  |     0.40      0.41
| 7.89e+07    169408  |    -1.04    0.00   12345  |     0.85      0.47
| 7.89e+07    169450  |    -1.29    0.00   12345  |     0.29      0.44
| 7.89e+07    169492  |    -1.84    0.00   12345  |     0.26      0.40
| 7.90e+07    169535  |    -1.29    0.00   12345  |     0.57      0.46
| 7.90e+07    169578  |    -1.05    0.00   12345  |     0.94      0.41
| 7.90e+07    169620  |    -1.16    0.00   12345  |     1.34      0.45
| 7.90e+07    169662  |    -0.91    0.00   12345  |     0.99      0.42
| 7.90e+07    169705  |    -1.08    0.00   12345  |     0.66      0.45
| 7.91e+07    169747  |    -1.17    0.00   12345  |     0.68      0.42
| 7.91e+07    169789  |    -0.99    0.00   12345  |     0.68      0.45
| 7.91e+07    169831  |    -1.28    0.00   12345  |     0.00      0.37
| 7.91e+07    169874  |    -1.12    0.00   12345  |     0.00      0.47
| 7.91e+07    169916  |    -1.10    0.00   12345  |     0.00      0.44
| 7.92e+07    169958  |    -1.28    0.00   12345  |     0.00      0.44
| 7.92e+07    170000  |    -1.22    0.00   12345  |     0.00      0.43
| 7.92e+07    170042  |    -1.03    0.00   12345  |     0.45      0.42
| 7.92e+07    170085  |    -1.21    0.00   12345  |     0.27      0.46
| 7.92e+07    170126  |    -1.10    0.00   12345  |     0.19      0.41
| 7.93e+07    170169  |    -1.43    0.00   12345  |     0.16      0.43
| 7.93e+07    170211  |    -1.07    0.00   12345  |     0.25      0.43
| 7.93e+07    170253  |    -1.13    0.00   12345  |     0.12      0.40
| 7.93e+07    170296  |    -1.30    0.00   12345  |     0.16      0.41
| 7.93e+07    170339  |    -1.21    0.00   12345  |     0.15      0.42
| 7.94e+07    170381  |    -1.05    0.00   12345  |     0.10      0.44
| 7.94e+07    170425  |    -1.19    0.00   12345  |     0.00      0.45
| 7.94e+07    170468  |    -1.31    0.00   12345  |     0.00      0.46
| 7.94e+07    170510  |    -1.02    0.00   12345  |     0.00      0.45
| 7.94e+07    170554  |    -1.01    0.00   12345  |     0.00      0.45
| 7.95e+07    170595  |    -1.15    0.00   12345  |     0.00      0.45
| 7.95e+07    170637  |    -1.06    0.00   12345  |     0.00      0.45
| 7.95e+07    170680  |    -1.17    0.00   12345  |     0.00      0.47
| 7.95e+07    170726  |    -1.01    0.00   12345  |     0.25      0.40
| 7.95e+07    170768  |    -1.10    0.00   12345  |     0.54      0.45
| 7.96e+07    170810  |    -1.15    0.00   12345  |     0.33      0.41
| 7.96e+07    170853  |    -1.08    0.00   12345  |     0.25      0.42
| 7.96e+07    170895  |    -1.05    0.00   12345  |     1.02      0.51
| 7.96e+07    170937  |    -1.29    0.00   12345  |     0.68      0.42
| 7.96e+07    170979  |    -1.31    0.00   12345  |     0.58      0.44
| 7.97e+07    171020  |    -1.09    0.00   12345  |     0.50      0.42
| 7.97e+07    171062  |    -1.10    0.00   12345  |     0.40      0.42
| 7.97e+07    171105  |    -1.10    0.00   12345  |     0.47      0.41
| 7.97e+07    171148  |    -1.02    0.00   12345  |     0.42      0.45
| 7.97e+07    171191  |    -1.25    0.00   12345  |     0.38      0.43
| 7.98e+07    171234  |    -1.10    0.00   12345  |     0.52      0.45
| 7.98e+07    171277  |    -1.19    0.00   12345  |     0.92      0.42
| 7.98e+07    171320  |    -1.22    0.00   12345  |     1.32      0.42
| 7.98e+07    171363  |    -1.21    0.00   12345  |     1.06      0.41
| 7.98e+07    171405  |    -1.13    0.00   12345  |     0.49      0.44
| 7.99e+07    171448  |    -1.05    0.00   12345  |     0.69      0.46
| 7.99e+07    171491  |    -1.04    0.00   12345  |     0.96      0.43
| 7.99e+07    171533  |    -1.12    0.00   12345  |     0.00      0.36
| 7.99e+07    171577  |    -1.29    0.00   12345  |     0.00      0.44
| 7.99e+07    171618  |    -1.30    0.00   12345  |     0.00      0.43
| 8.00e+07    171661  |    -1.35    0.00   12345  |     0.00      0.44
| 8.00e+07    171704  |    -1.29    0.00   12345  |     0.00      0.43
| 8.00e+07    171746  |    -1.22    0.00   12345  |     0.43      0.43
| 8.00e+07    171788  |    -1.23    0.00   12345  |     0.24      0.47
| 8.00e+07    171831  |    -1.06    0.00   12345  |     0.18      0.43
| 8.01e+07    171874  |    -1.23    0.00   12345  |     0.16      0.42
| 8.01e+07    171916  |    -1.33    0.00   12345  |     0.37      0.40
| 8.01e+07    171958  |    -1.16    0.00   12345  |     0.11      0.38
| 8.01e+07    172001  |    -1.13    0.00   12345  |     0.18      0.42
| 8.01e+07    172042  |    -1.24    0.00   12345  |     0.14      0.44
| 8.02e+07    172085  |    -1.29    0.00   12345  |     0.02      0.53
| 8.02e+07    172129  |    -1.33    0.00   12345  |     0.00      0.45
| 8.02e+07    172174  |    -1.07    0.00   12345  |     0.00      0.46
| 8.02e+07    172216  |    -1.25    0.00   12345  |     0.00      0.45
| 8.02e+07    172259  |    -1.30    0.00   12345  |     0.00      0.45
| 8.03e+07    172301  |    -1.25    0.00   12345  |     0.00      0.45
| 8.03e+07    172346  |    -1.29    0.00   12345  |     0.00      0.45
| 8.03e+07    172389  |    -1.34    0.00   12345  |     0.00      0.45
| 8.03e+07    172431  |    -1.30    0.00   12345  |     0.37      0.43
| 8.03e+07    172473  |    -1.16    0.00   12345  |     0.55      0.46
| 8.04e+07    172516  |    -1.28    0.00   12345  |     0.45      0.42
| 8.04e+07    172560  |    -1.38    0.00   12345  |     0.30      0.44
| 8.04e+07    172602  |    -1.09    0.00   12345  |     0.86      0.52
| 8.04e+07    172644  |    -1.05    0.00   12345  |     0.66      0.43
| 8.04e+07    172686  |    -1.16    0.00   12345  |     0.59      0.43
| 8.05e+07    172729  |    -1.17    0.00   12345  |     0.44      0.41
| 8.05e+07    172771  |    -1.05    0.00   12345  |     0.25      0.41
| 8.05e+07    172813  |    -1.33    0.00   12345  |     0.49      0.41
| 8.05e+07    172856  |    -1.41    0.00   12345  |     0.57      0.47
| 8.05e+07    172900  |    -1.33    0.00   12345  |     0.40      0.44
| 8.06e+07    172942  |    -1.33    0.00   12345  |     0.67      0.42
| 8.06e+07    172984  |    -1.25    0.00   12345  |     0.89      0.44
| 8.06e+07    173026  |    -1.26    0.00   12345  |     1.23      0.42
| 8.06e+07    173068  |    -1.25    0.00   12345  |     1.04      0.39
| 8.06e+07    173113  |    -1.25    0.00   12345  |     0.42      0.42
| 8.07e+07    173155  |    -1.27    0.00   12345  |     0.50      0.41
| 8.07e+07    173198  |    -1.26    0.00   12345  |     0.75      0.42
| 8.07e+07    173240  |    -1.29    0.00   12345  |     0.00      0.36
| 8.07e+07    173283  |    -1.11    0.00   12345  |     0.00      0.43
| 8.07e+07    173326  |    -1.32    0.00   12345  |     0.00      0.44
| 8.08e+07    173369  |    -1.43    0.00   12345  |     0.00      0.45
| 8.08e+07    173411  |    -1.32    0.00   12345  |     0.00      0.43
| 8.08e+07    173454  |    -1.09    0.00   12345  |     0.35      0.41
| 8.08e+07    173496  |    -1.44    0.00   12345  |     0.26      0.43
| 8.08e+07    173538  |    -1.17    0.00   12345  |     0.15      0.41
| 8.09e+07    173580  |    -1.13    0.00   12345  |     0.12      0.42
| 8.09e+07    173623  |    -1.07    0.00   12345  |     0.51      0.51
| 8.09e+07    173665  |    -1.49    0.00   12345  |     0.13      0.40
| 8.09e+07    173708  |    -1.04    0.00   12345  |     0.17      0.43
| 8.09e+07    173751  |    -1.34    0.00   12345  |     0.24      0.43
| 8.10e+07    173794  |    -1.39    0.00   12345  |     0.00      0.45
| 8.10e+07    173836  |    -1.34    0.00   12345  |     0.00      0.46
| 8.10e+07    173878  |    -1.19    0.00   12345  |     0.00      0.41
| 8.10e+07    173921  |    -1.70    0.00   12345  |     0.00      0.45
| 8.10e+07    173963  |    -1.09    0.00   12345  |     0.00      0.46
| 8.11e+07    174006  |    -1.14    0.00   12345  |     0.00      0.46
| 8.11e+07    174048  |    -1.16    0.00   12345  |     0.00      0.46
| 8.11e+07    174091  |    -1.32    0.00   12345  |     0.00      0.46
| 8.11e+07    174135  |    -1.43    0.00   12345  |     0.42      0.42
| 8.11e+07    174177  |    -0.95    0.00   12345  |     0.46      0.46
| 8.12e+07    174219  |    -1.19    0.00   12345  |     0.56      0.44
| 8.12e+07    174263  |    -1.37    0.00   12345  |     0.36      0.44
| 8.12e+07    174306  |    -1.34    0.00   12345  |     0.60      0.46
| 8.12e+07    174347  |    -1.20    0.00   12345  |     0.58      0.45
| 8.12e+07    174390  |    -1.27    0.00   12345  |     0.57      0.45
| 8.13e+07    174433  |    -0.84    0.00   12345  |     0.47      0.45
| 8.13e+07    174476  |    -1.34    0.00   12345  |     0.41      0.41
| 8.13e+07    174518  |    -1.57    0.00   12345  |     0.63      0.41
| 8.13e+07    174560  |    -1.26    0.00   12345  |     0.84      0.47
| 8.13e+07    174602  |    -1.74    0.00   12345  |     0.36      0.44
| 8.14e+07    174646  |    -1.62    0.00   12345  |     0.83      0.44
| 8.14e+07    174690  |    -1.16    0.00   12345  |     0.98      0.41
| 8.14e+07    174733  |    -1.13    0.00   12345  |     1.19      0.40
| 8.14e+07    174777  |    -1.21    0.00   12345  |     1.06      0.41
| 8.14e+07    174821  |    -1.20    0.00   12345  |     0.46      0.42
| 8.15e+07    174864  |    -1.40    0.00   12345  |     0.44      0.43
| 8.15e+07    174907  |    -1.35    0.00   12345  |     0.42      0.41
| 8.15e+07    174949  |    -1.22    0.00   12345  |     0.00      0.38
| 8.15e+07    174992  |    -1.36    0.00   12345  |     0.00      0.45
| 8.15e+07    175034  |    -1.09    0.00   12345  |     0.00      0.44
| 8.16e+07    175077  |    -1.76    0.00   12345  |     0.00      0.44
| 8.16e+07    175119  |    -1.13    0.00   12345  |     0.00      0.44
| 8.16e+07    175161  |    -1.31    0.00   12345  |     0.38      0.42
| 8.16e+07    175202  |    -0.83    0.00   12345  |     0.26      0.45
| 8.16e+07    175244  |    -1.06    0.00   12345  |     0.39      0.46
| 8.17e+07    175287  |    -1.25    0.00   12345  |     0.10      0.46
| 8.17e+07    175329  |    -0.78    0.00   12345  |     0.41      0.53
| 8.17e+07    175371  |    -1.22    0.00   12345  |     0.13      0.40
| 8.17e+07    175413  |    -0.77    0.00   12345  |     0.11      0.42
| 8.17e+07    175455  |    -1.10    0.00   12345  |     0.26      0.43
| 8.18e+07    175496  |    -1.21    0.00   12345  |     0.00      0.45
| 8.18e+07    175538  |    -1.14    0.00   12345  |     0.00      0.43
| 8.18e+07    175581  |    -1.37    0.00   12345  |     0.00      0.44
| 8.18e+07    175623  |    -1.62    0.00   12345  |     0.00      0.44
| 8.18e+07    175665  |    -0.82    0.00   12345  |     0.00      0.43
| 8.19e+07    175706  |    -1.11    0.00   12345  |     0.00      0.45
| 8.19e+07    175750  |    -1.18    0.00   12345  |     0.00      0.44
| 8.19e+07    175793  |    -1.19    0.00   12345  |     0.00      0.44
| 8.19e+07    175835  |    -1.45    0.00   12345  |     0.53      0.42
| 8.19e+07    175878  |    -1.32    0.00   12345  |     0.34      0.42
| 8.20e+07    175921  |    -1.06    0.00   12345  |     0.63      0.44
| 8.20e+07    175963  |    -1.48    0.00   12345  |     0.34      0.45
| 8.20e+07    176006  |    -1.55    0.00   12345  |     1.12      0.44
| 8.20e+07    176048  |    -1.34    0.00   12345  |     0.58      0.40
| 8.20e+07    176090  |    -1.15    0.00   12345  |     0.40      0.45
| 8.21e+07    176132  |    -1.23    0.00   12345  |     0.39      0.45
| 8.21e+07    176175  |    -1.51    0.00   12345  |     0.48      0.42
| 8.21e+07    176218  |    -1.23    0.00   12345  |     0.69      0.41
| 8.21e+07    176261  |    -1.48    0.00   12345  |     0.79      0.45
| 8.21e+07    176303  |    -1.28    0.00   12345  |     0.35      0.43
| 8.22e+07    176345  |    -1.01    0.00   12345  |     0.70      0.49
| 8.22e+07    176387  |    -0.78    0.00   12345  |     0.94      0.44
| 8.22e+07    176430  |    -1.04    0.00   12345  |     1.39      0.42
| 8.22e+07    176472  |    -0.78    0.00   12345  |     2.02      0.54
| 8.22e+07    176514  |    -0.78    0.00   12345  |     0.41      0.41
| 8.23e+07    176556  |    -1.09    0.00   12345  |     0.66      0.46
| 8.23e+07    176599  |    -1.29    0.00   12345  |     0.39      0.43
| 8.23e+07    176641  |    -1.17    0.00   12345  |     0.00      0.45
| 8.23e+07    176685  |    -1.05    0.00   12345  |     0.00      0.45
| 8.23e+07    176727  |    -0.79    0.00   12345  |     0.00      0.46
| 8.24e+07    176770  |    -1.08    0.00   12345  |     0.00      0.46
| 8.24e+07    176813  |    -1.07    0.00   12345  |     0.00      0.44
| 8.24e+07    176856  |    -1.00    0.00   12345  |     0.34      0.44
| 8.24e+07    176898  |    -0.76    0.00   12345  |     0.16      0.47
| 8.24e+07    176940  |    -0.83    0.00   12345  |     0.39      0.46
| 8.25e+07    176982  |    -1.06    0.00   12345  |     0.19      0.43
| 8.25e+07    177024  |    -1.07    0.00   12345  |     0.18      0.38
| 8.25e+07    177067  |    -0.78    0.00   12345  |     0.11      0.40
| 8.25e+07    177109  |    -1.06    0.00   12345  |     0.14      0.45
| 8.25e+07    177152  |    -0.98    0.00   12345  |     0.20      0.43
| 8.26e+07    177194  |    -0.84    0.00   12345  |     0.00      0.47
| 8.26e+07    177236  |    -1.10    0.00   12345  |     0.00      0.48
| 8.26e+07    177278  |    -1.16    0.00   12345  |     0.00      0.46
| 8.26e+07    177321  |    -1.12    0.00   12345  |     0.00      0.47
| 8.26e+07    177364  |    -0.80    0.00   12345  |     0.00      0.48
| 8.27e+07    177407  |    -0.75    0.00   12345  |     0.00      0.48
| 8.27e+07    177450  |    -0.76    0.00   12345  |     0.00      0.45
| 8.27e+07    177494  |    -1.15    0.00   12345  |     0.00      0.48
| 8.27e+07    177536  |    -1.03    0.00   12345  |     0.82      0.45
| 8.27e+07    177578  |    -1.17    0.00   12345  |     0.37      0.39
| 8.28e+07    177620  |    -1.41    0.00   12345  |     0.84      0.45
| 8.28e+07    177663  |    -1.00    0.00   12345  |     0.51      0.45
| 8.28e+07    177705  |    -0.77    0.00   12345  |     2.15      0.40
| 8.28e+07    177747  |    -0.82    0.00   12345  |     1.07      0.47
| 8.28e+07    177789  |    -0.99    0.00   12345  |     0.47      0.44
| 8.29e+07    177831  |    -0.83    0.00   12345  |     0.44      0.46
| 8.29e+07    177874  |    -0.77    0.00   12345  |     0.46      0.45
| 8.29e+07    177917  |    -1.16    0.00   12345  |     1.15      0.44
| 8.29e+07    177960  |    -0.81    0.00   12345  |     0.64      0.49
| 8.29e+07    178002  |    -0.99    0.00   12345  |     0.39      0.42
| 8.30e+07    178045  |    -1.73    0.00   12345  |     0.48      0.45
| 8.30e+07    178087  |    -1.08    0.00   12345  |     0.69      0.45
| 8.30e+07    178129  |    -1.26    0.00   12345  |     1.59      0.43
| 8.30e+07    178172  |    -0.81    0.00   12345  |     2.20      0.53
| 8.30e+07    178214  |    -1.20    0.00   12345  |     0.45      0.41
| 8.31e+07    178256  |    -1.18    0.00   12345  |     0.70      0.45
| 8.31e+07    178298  |    -1.17    0.00   12345  |     0.54      0.42
| 8.31e+07    178340  |    -1.23    0.00   12345  |     0.00      0.50
| 8.31e+07    178383  |    -1.05    0.00   12345  |     0.00      0.44
| 8.31e+07    178426  |    -1.53    0.00   12345  |     0.00      0.45
| 8.32e+07    178469  |    -1.15    0.00   12345  |     0.00      0.45
| 8.32e+07    178511  |    -1.09    0.00   12345  |     0.00      0.45
| 8.32e+07    178554  |    -1.08    0.00   12345  |     0.30      0.41
| 8.32e+07    178597  |    -1.13    0.00   12345  |     0.13      0.42
| 8.32e+07    178640  |    -1.19    0.00   12345  |     0.17      0.41
| 8.33e+07    178682  |    -0.96    0.00   12345  |     0.23      0.44
| 8.33e+07    178724  |    -0.85    0.00   12345  |     0.13      0.40
| 8.33e+07    178766  |    -1.22    0.00   12345  |     0.11      0.40
| 8.33e+07    178810  |    -0.96    0.00   12345  |     0.17      0.47
| 8.33e+07    178853  |    -1.17    0.00   12345  |     0.13      0.42
| 8.34e+07    178895  |    -1.14    0.00   12345  |     0.00      0.47
| 8.34e+07    178939  |    -1.06    0.00   12345  |     0.00      0.46
| 8.34e+07    178982  |    -0.95    0.00   12345  |     0.00      0.46
| 8.34e+07    179024  |    -1.22    0.00   12345  |     0.00      0.45
| 8.34e+07    179066  |    -1.22    0.00   12345  |     0.00      0.46
| 8.35e+07    179109  |    -1.31    0.00   12345  |     0.00      0.46
| 8.35e+07    179153  |    -1.02    0.00   12345  |     0.00      0.45
| 8.35e+07    179197  |    -1.06    0.00   12345  |     0.00      0.46
| 8.35e+07    179240  |    -1.39    0.00   12345  |     1.09      0.47
| 8.35e+07    179284  |    -1.32    0.00   12345  |     0.33      0.42
| 8.36e+07    179328  |    -1.01    0.00   12345  |     0.66      0.47
| 8.36e+07    179370  |    -1.01    0.00   12345  |     0.46      0.46
| 8.36e+07    179413  |    -1.13    0.00   12345  |     2.04      0.40
| 8.36e+07    179455  |    -1.47    0.00   12345  |     1.03      0.48
| 8.36e+07    179498  |    -1.26    0.00   12345  |     0.55      0.46
| 8.37e+07    179541  |    -1.10    0.00   12345  |     0.36      0.46
| 8.37e+07    179583  |    -0.99    0.00   12345  |     0.36      0.45
| 8.37e+07    179626  |    -1.09    0.00   12345  |     1.01      0.45
